Measure_Name,State,Rank,Value,Score,Lower_CI,Upper_CI,Source,Source_Year
Able-bodied,Alaska,41,62.6,-1.07,65.9,59.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Alabama,44,61,-1.56,62.1,59.9,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,United States,,66.1,,66.2,66,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Arkansas,49,58.1,-2,59.5,56.7,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Arizona,24,66.4,0.09,67,65.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,California,23,66.5,0.12,66.9,66.1,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Colorado,8,68.9,0.85,69.9,67.9,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Connecticut,1,70.6,1.37,71.7,69.5,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,District of Columbia,,64,,67.2,60.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Delaware,6,69.1,0.92,71,67.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Florida,18,67.2,0.34,67.7,66.7,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Georgia,30,66,-0.03,66.8,65.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Hawaii,13,68.3,0.67,69.8,66.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Iowa,8,68.9,0.85,69.9,67.9,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Idaho,37,64.7,-0.43,66.4,63,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Illinois,16,68,0.58,68.6,67.4,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Indiana,36,65.1,-0.31,65.9,64.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Kansas,40,63.5,-0.79,64.6,62.4,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Kentucky,46,60.3,-1.77,61.4,59.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Louisiana,43,62,-1.25,63.4,60.6,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Massachusetts,10,68.8,0.82,69.6,68,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Maryland,5,69.3,0.98,70.1,68.5,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Maine,28,66.2,0.03,67.6,64.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Michigan,32,65.9,-0.06,66.5,65.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Minnesota,6,69.1,0.92,69.8,68.4,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Missouri,38,63.6,-0.76,64.4,62.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Mississippi,45,60.4,-1.74,61.9,58.9,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Montana,14,68.1,0.61,69.6,66.6,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,North Carolina,34,65.7,-0.12,66.5,64.9,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,North Dakota,22,66.6,0.15,68.7,64.5,"U.S. Census Bureau, American Community Survey",2018
