"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date"
"011500","BAPTIST HOSPICE","301 INTERSTATE PARK","","MONTGOMERY","AL","36109","Montgomery","(334) 395-5000","4","Other","03/23/1984"
"011501","SOUTHERNCARE NEW BEACON N. BIRMINGHAM","4735 NORREL DRIVE, SUITE 129","","TRUSSVILLE","AL","35173","Jefferson","(205) 939-8799","4","For-Profit","05/24/1984"
"011502","COMFORT CARE COASTAL HOSPICE - BALDWIN","22502 US HIGHWAY 98","","FAIR HOPE","AL","36532","Baldwin","(251) 462-1428","4","Other","07/03/1984"
"011503","SAAD HEALTHCARE","1515 UNIVERSITY BOULEVARD, SOUTH","","MOBILE","AL","36609","Mobile","(251) 343-9600","4","For-Profit","01/08/1986"
"011505","HOSPICE FAMILY CARE","10000 SERENITY LANE SOUTHEAST","","HUNTSVILLE","AL","35803","Madison","(256) 650-1212","4","Non-Profit","10/30/1986"
"011506","SOUTHERNCARE NEW BEACON - JASPER","300 NORTH AIRPORT ROAD, UNITS 3 AND 4","","JASPER","AL","35504","Walker","(205) 387-9339","4","For-Profit","11/19/1986"
"011508","SOUTHERNCARE NEW BEACON OF ANNISTON","1419 LEIGHTON AVENUE, UNIT A","","ANNISTON","AL","36207","Calhoun","(205) 236-5334","4","For-Profit","12/22/1987"
"011510","CULLMAN REGIONAL HOSPICE","1938 AL HWY 157, SUITE 102","","CULLMAN","AL","35058","Cullman","(205) 739-5185","4","Other","02/18/1988"
"011511","HOSPICE OF THE VALLEY, INC","240 JOHNSTON STREET, SE","","DECATUR","AL","35601","Morgan","(205) 350-5585","4","Non-Profit","03/03/1988"
"011512","SOUTHERNCARE NEW BEACON SCOTTSBORO","1602 S BROAD STREET","","SCOTTSBORO","AL","35768","Jackson","(205) 574-4622","4","For-Profit","04/07/1988"
"011513","SHEPHERD'S COVE HOSPICE","408 MARTLING ROAD","","ALBERTVILLE","AL","35951","Marshall","(256) 891-7724","4","Non-Profit","04/14/1988"
"011514","ST VINCENT'S HOSPICE","1400 URBAN CENTER DRIVE, SUITE 240","","BIRMINGHAM","AL","35242","Shelby","(205) 313-2800","4","For-Profit","06/02/1988"
"011516","HOSPICE OF LIMESTONE COUNTY","405 SOUTH MARION STREET, P O BOX 626","","ATHENS","AL","35611","Limestone","(256) 232-5017","4","For-Profit","02/09/1989"
"011517","HOSPICE OF WEST ALABAMA","3851 LOOP ROAD","","TUSCALOOSA","AL","35404","Tuscaloosa","(205) 345-0067","4","Non-Profit","02/08/1989"
"011522","KINDRED HOSPICE - DOTHAN","2740 HEADLAND AVENUE","","DOTHAN","AL","36303","Houston","(334) 792-1100","4","For-Profit","11/03/1989"
"011523","HOSPICE OF MONTGOMERY","1111 HOLLOWAY PARK","","MONTGOMERY","AL","36117","Montgomery","(334) 279-6677","4","For-Profit","11/22/1989"
"011524","CHATTAHOOCHEE HOSPICE INC","6 MEDICAL PARK NORTH","","VALLEY","AL","36854","Chambers","(334) 756-8043","4","Other","01/05/1990"
"011526","LAKESIDE HOSPICE INC","4010 MASTERS ROAD","","PELL CITY","AL","35128","St. Clair","(205) 884-1111","4","Non-Profit","03/28/1991"
"011527","AMEDISYS HOSPICE OF BIRMINGHAM","2204 LAKESHORE DRIVE, SUITE 160","","HOMEWOOD","AL","35209","Jefferson","(205) 868-9221","4","For-Profit","05/02/1991"
"011528","COMPASSUS-AUBURN","665 OPELIKA ROAD, SUITE 200","","AUBURN","AL","36830","Lee","(334) 826-1899","4","Combination Government & Non-Profit","12/11/1991"
"011534","HOSPICE OF NORTHWEST ALABAMA","1315 US HIGHWAY 43     P O BOX 1216","","WINFIELD","AL","35594","Marion","(205) 487-8140","4","For-Profit","03/15/1994"
"011538","HOSPICE OF CLAY COUNTY","83825 HIGHWAY 9  P O BOX 1270","","ASHLAND","AL","36251","Clay","(205) 354-2131","4","Combination Government & Non-Profit","12/12/1994"
"011543","ENCOMPASS HEALTH HOSPICE BIRMINGHAM","2970A LORNA ROAD, SUITE 104","","VESTAVIA HILLS","AL","35216","Jefferson","(205) 979-2619","4","For-Profit","06/20/1995"
"011546","COMMUNITY HOSPICE OF BALDWIN COUNTY","1450 N MCKENZIE STREET","","FOLEY","AL","36535","Baldwin","(251) 334-9435","4","Non-Profit","02/28/1996"
"011548","JOURNEY HOSPICE OF ALABAMA","4128 CROSSHAVEN DRIVE","","VESTAVIA","AL","35243","Jefferson","(205) 349-3065","4","For-Profit","08/22/1996"
"011549","HOMESTEAD HOSPICE OF CAHABA, LLC","3005 CITIZENS PARKWAY","","SELMA","AL","36701","Dallas","(334) 418-0566","4","For-Profit","10/18/1996"
"011558","ALABAMA HOSPICE CARE OF MOBILE","6001 AIRPORT BLVD, SUITE A","","MOBILE","AL","36608","Mobile","(251) 345-1023","4","Other","10/03/1997"
"011561","ASERACARE HOSPICE","482 MCQUEEN SMITH ROAD","","PRATTVILLE","AL","36066","Autauga","(334) 872-1104","4","For-Profit","12/09/1997"
"011562","ASERACARE HOSPICE-JACKSON","4115 COLLEGE AVENUE","","JACKSON","AL","36545","Clarke","(251) 246-4113","4","For-Profit","10/23/1997"
"011566","ASERACARE HOSPICE-DECATUR","715 6TH AVENUE SE","","DECATUR","AL","35601","Autauga","(256) 350-8688","4","For-Profit","10/08/1997"
"011567","ASERACARE HOSPICE-MONROEVILLE","1979 S HWY 21 BYPASS","","MONROEVILLE","AL","36460","Monroe","(334) 575-3409","4","For-Profit","10/22/1997"
"011576","COMFORT CARE HOSPICE LLC","547 U.S. HIGHWAY 80 WEST, SUITE 2","","DEMOPOLIS","AL","36732","Marengo","(334) 289-2106","4","Other","03/23/2000"
"011577","COVENANT HOSPICE INC - DOTHAN","1512 WEST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 794-7847","4","Non-Profit","12/21/2000"
"011579","COMPASSUS-GADSDEN","1735 HIGHWAY 77","","SOUTHSIDE","AL","35907","Etowah","(256) 782-3560","4","For-Profit","02/16/2001"
"011582","COMFORT CARE HOSPICE OF GREENVILLE","23 JAMESON LANE","","GREENVILLE","AL","36037","Butler","(334) 383-9688","4","Other","06/12/2001"
"011583","COMMUNITY HOSPICE CARE","1526 GILMER AVENUE","","TALLASSEE","AL","36078","Elmore","(334) 283-6541","4","For-Profit","06/13/2001"
"011586","ASERACARE HOSPICE-HAMILTON","1215 MILITARY STREET SOUTH - SUITE B, PO BOX 1357","","HAMILTON","AL","35570","Marion","(205) 921-9091","4","For-Profit","02/06/2002"
"011591","HOPE HOSPICE, INC","1100 EAST PARK DRIVE, SUITE 303","","BIRMINGHAM","AL","35235","Jefferson","(205) 583-4673","4","For-Profit","10/02/2002"
"011592","SHOALS HOSPICE, LLC","115 HELTON COURT","","FLORENCE","AL","35630","Lauderdale","(256) 767-1322","4","For-Profit","12/18/2002"
"011597","COMFORT CARE HOSPICE OF ANDALUSIA","820 SOUTH THREE NOTCH STREET, SUITE C","","ANDALUSIA","AL","36420","Covington","(334) 427-4000","4","Other","05/14/2003"
"011598","HOMETOWN HOSPICE, INC","1447 COLLEGE AVE","","JACKSON","AL","36545","Clarke","(251) 246-2727","4","For-Profit","05/29/2003"
"011600","ENCOMPASS HEALTH HOSPICE - PRATTVILLE","1307 HWY 80 WEST","","DEMOPOLIS","AL","36732","Marengo","(334) 289-1007","4","For-Profit","07/22/2003"
"011602","KINDRED HOSPICE - PHENIX CITY","3615 SOUTH RAILROAD STREET, SUITE 3","","PHENIX CITY","AL","36867","Russell","(334) 298-8898","4","For-Profit","06/05/2003"
"011603","DAYSPRING HOSPICE, LLC","1275 JAMES DR. ST. A","","ENTERPRISE","AL","36331","Coffee","(334) 347-2999","4","Other","07/24/2003"
"011604","LEGACY HOSPICE OF THE EAST, LLC","5628 BARRYTOWN ROAD, SUITE 1","","GILBERTOWN","AL","36908","Choctaw","(251) 843-5355","4","For-Profit","08/28/2003"
"011605","KINDRED HOSPICE-MOBILE","2800 DAUPHIN STREET, SUITE 103","","MOBILE","AL","36606","Mobile","(251) 478-9900","4","For-Profit","08/28/2003"
"011607","COMFORT CARE HOSPICE OF PELHAM","245 CAHABA VALLEY PKWY, SUITE 110","","PELHAM","AL","35124","Shelby","(205) 685-0421","4","Other","10/16/2003"
"011608","AMERICAN HOMECARE HOSPICE - SYLACAUGA","3275 OLD SYLACAUGA HWY","","SYLACAUGA","AL","35150","Talladega","(256) 245-9212","4","For-Profit","11/12/2003"
"011612","COLUMBUS HOSPICE OF ALABAMA","1521 FIFTH AVENUE","","PHENIX CITY","AL","36867","Russell","(334) 664-0075","4","Non-Profit","01/23/2004"
"011617","COMFORT CARE HOSPICE OF TALLADEGA","702 EAST BATTLE STREET SUITE C","","TALLADEGA","AL","35160","Talladega","(256) 761-1250","4","For-Profit","04/22/2004"
"011619","COMPASSUS-MONTGOMERY","4253 WETUMPKA HIGHWAY","","MONTGOMERY","AL","36110","Montgomery","(334) 517-6112","4","For-Profit","08/11/2004"
"011621","IVY CREEK HOSPICE","201 MARIARDEN ROAD","","DADEVILLE","AL","36853","Tallapoosa","(256) 825-7821","4","For-Profit","11/02/2004"
"011622","HOSPICE OF NORTH ALABAMA, LLC","2905 WESTCORP BLVD,, STE 115, 116, 117","","HUNTSVILLE","AL","35805","Madison","(256) 533-4300","4","Other","11/03/2004"
"011623","AMEDISYS HOSPICE OF MONTGOMERY","8160 DECKER LANE","","MONTGOMERY","AL","36117","Montgomery","(334) 395-7789","4","Other","01/05/2005"
"011624","AFFINITY HOSPICE","216 AQUARIUS DRIVE, SUITE 306","","BIRMINGHAM","AL","35209","Jefferson","(205) 949-0400","4","For-Profit","03/08/2005"
"011626","ABC HOSPICE, INC","266 INDUSTRIAL DRIVE","","RAINSVILLE","AL","35986","DeKalb","(866) 847-8660","4","For-Profit","04/14/2005"
"011628","COMMUNITY HOSPICE OF DALE MEDICAL CENTER","368 JAMES STREET","","OZARK","AL","36360","Dale","(334) 774-1380","4","Combination Government & Non-Profit","05/10/2005"
"011629","HOSPICE SERVICES OF ALABAMA, LLC","1000 SOUTHLAKE PARK, SUITE 100","","BIRMINGHAM","AL","35244","Jefferson","(205) 682-9996","4","Other","05/25/2005"
"011631","HOMESTEAD HOSPICE OF SOUTHERN ALABAMA, LLC","116 EDWINA STREET","","EVERGREEN","AL","36401","Conecuh","(251) 981-0224","4","For-Profit","09/12/2005"
"011632","KELLER HOSPICE","1404 EAST AVALON AVENUE, SUITE C","","TUSCUMBIA","AL","35674","Colbert","(256) 314-1204","4","Other","10/20/2005"
"011634","HEARTLITE HOSPICE","111 EAST LAUREL STREET","","SCOTTSBORO","AL","35768","Jackson","(256) 259-1754","4","Other","11/02/2005"
"011635","COMFORT CARE HOSPICE OF SCOTTSBORO","23730 JOHN T REID PKWY, SUITE A","","SCOTTSBORO","AL","35768","Jackson","(256) 259-0906","4","Other","11/02/2005"
"011636","COMPASSUS-TROY","1340 HIGHWAY 231 S, STE 7","","TROY","AL","36081","Pike","(334) 566-4357","4","For-Profit","11/17/2005"
"011638","EXPECT CARE HOSPICE","1220 20TH STREET SOUTH","","BIRMINGHAM","AL","35205","Jefferson","(205) 444-0126","4","For-Profit","11/02/2005"
"011640","COMFORT CARE HOSPICE OF BREWTON","215 BELLEVILLE AVENUE, SUITE A","","BREWTON","AL","36426","Escambia","(251) 867-6232","4","Other","12/15/2005"
"011642","SPRINGHILL HOME HEALTH AND HOSPICE","22 NORTH MOBILE STREET","","MOBILE","AL","36607","Mobile","(251) 725-1268","4","For-Profit","01/18/2006"
"011643","COMFORT CARE  HOSPICE OF CULLMAN","1910 CHEROKEE AVENUE, SW","","CULLMAN","AL","35055","Cullman","(256) 739-4409","4","Other","01/05/2006"
"011654","COMFORT CARE HOSPICE OF DECATUR","2424 DANVILLE ROAD, SUITE M","","DECATUR","AL","35603","Morgan","(256) 905-0280","4","Other","04/12/2007"
"011655","SOUTHERNCARE GREENVILLE","501 E COMMERCE STREET","","GREENVILLE","AL","36037","Butler","(334) 382-1406","4","Other","04/13/2007"
"011656","FIRST CHOICE HOSPICE","966 NORTH CLAXTON AVENUE","","ELBA","AL","36323","Coffee","(334) 897-0650","4","For-Profit","04/11/2007"
"011657","ALABAMA HOSPICE CARE OF BIRMINGHAM","5243 OLD SPRINGVILLE ROAD SUITE 101","","PINSON","AL","35126","Jefferson","(205) 228-0600","4","Other","04/12/2007"
"011660","OASIS HEALTHCARE - MOODY","3522 VANN RD, STE 104","","BIRMINGHAM","AL","35235","Jefferson","(205) 640-3303","4","For-Profit","06/29/2007"
"011661","COOSA VALLEY HOSPICE","315 WEST HICKORY STREET","","SYLACAUGA","AL","35150","Talladega","(256) 401-4545","4","Government","07/16/2007"
"011662","ALABAMA HOSPICE CARE OF JASPER","1706 HWY 78 E","","JASPER","AL","35501","Walker","(205) 385-0200","4","For-Profit","07/12/2007"
"011663","SOUTHEAST HOSPICE NETWORK, LLC","4330 HIGHWAY 78E, SUITE 120-121","","JASPER","AL","35501","Walker","(205) 387-2300","4","Other","09/28/2007"
"011664","COMPASSUS HOSPICE AND PALLIATIVE CARE-BIRMINGHAM","1400 URBAN CENTER DRIVE, SUITE 100","","VESTAVIA HILLS","AL","35242","Jefferson","(205) 437-8655","4","For-Profit","10/10/2007"
"011668","COMFORT CARE HOSPICE OF GADSDEN","600 BROAD STREET, SUITE 301","","GADSDEN","AL","35901","Etowah","(256) 413-9045","4","For-Profit","02/21/2008"
"011669","AMEDISYS HOSPICE OF FLORENCE","412 SOUTH COURT STREET, SUITE 302","","FLORENCE","AL","35630","Lauderdale","(256) 760-7877","4","For-Profit","03/24/2014"
"011670","ENCOMPASS HEALTH HOSPICE - RAINBOW CITY","101 CHURCH STREET","","RAINBOW CITY","AL","35906","Etowah","(256) 467-3568","4","For-Profit","04/10/2008"
"011671","ALABAMA HOSPICE CARE OF OXFORD","1631 HAMRICK DRIVE EAST","","OXFORD","AL","36203","Calhoun","(256) 831-2031","4","For-Profit","06/12/2008"
"011673","COMFORT CARE HOSPICE OF MONTGOMERY","315 SAINT LUKES DRIVE","","MONTGOMERY","AL","36117","Montgomery","(334) 514-0244","4","Other","07/23/2008"
"011674","KINDRED HOSPICE - HUNTSVILLE","5000 BRADFORD DRIVE NW, SUITE 3A","","HUNTSVILLE","AL","35805","Madison","(256) 837-1290","4","For-Profit","08/28/2008"
"011675","KINDRED HOSPICE - HOOVER","2000B SOUTHBRIDGE PARKWAY, SUITE 150","","BIRMINGHAM","AL","35209","Jefferson","(205) 870-4340","4","For-Profit","08/27/2008"
"011676","GOOD SAMARITAN HOSPICE OF MADISON","540 HUGHES ROAD, SUITE 12","","MADISON","AL","35758","Madison","(256) 772-8108","4","For-Profit","12/10/2008"
"011677","ALABAMA HOSPICE CARE OF TUSCALOOSA","971 FAIRFAX PARK, SUITE A","","TUSCALOOSA","AL","35406","Tuscaloosa","(205) 633-3705","4","For-Profit","12/30/2008"
"011678","COMPASSUS-FLORENCE","507 E DR HICKS BOULEVARD","","FLORENCE","AL","35634","Lauderdale","(256) 757-2414","4","For-Profit","12/30/2008"
"011680","FIRST CHOICE HOSPICE-OZARK","1864 ANDREWS AVENUE  SUITE A","","OZARK","AL","36360","Dale","(334) 774-3113","4","For-Profit","09/03/2009"
"011681","FIRST CHOICE HOSPICE ANDALUSIA","1015 S THREE NOTCH ST","","ANDALUSIA","AL","36420","Covington","(334) 897-0650","4","For-Profit","06/16/2011"
"011682","ENCOMPASS HEALTH HOSPICE - HUNTSVILLE","415-E CHURCH STREET, SUITE 3","","HUNTSVILLE","AL","35801","Madison","(256) 436-0402","4","For-Profit","05/29/2013"
"011683","ENCOMPASS HEALTH HOSPICE TALLADEGA","650 STONE AVENUE","","TALLADEGA","AL","35160","Talladega","(256) 268-2422","4","Other","06/18/2014"
"011684","ST JOSEPH HOSPICE OF SOUTH ALABAMA LLC","23 MIDTOWN PARK W, UNIT B","","MOBILE","AL","36607","Mobile","(251) 675-7555","4","For-Profit","10/31/2014"
"011685","HOSPICE OF MONROE COUNTY","2016 SOUTH ALABAMA AVENUE","","MONROEVILLE","AL","36460","Monroe","(251) 575-3111","4","For-Profit","03/08/2018"
"011686","PROHEALTH HOSPICE","1511-B RAINBOW DRIVE","","GADSDEN","AL","35901","Etowah","(256) 494-8170","4","For-Profit","06/26/2018"
"021500","ANCORA HOME HEALTH & HOSPICE","2851 E PALMER-WASILLA HWY","","WASILLA","AK","99654","Matanuska-Susitna","(907) 352-4800","10","For-Profit","11/25/1993"
"021505","HOSPICE AND HOME CARE OF JUNEAU","1803 GLACIER HIGHWAY","","JUNEAU","AK","99801","Juneau","(907) 463-6111","10","For-Profit","02/23/2006"
"021506","PROVIDENCE IN HOME SERVICES","4001 DALE STREET, SUITE 101","","ANCHORAGE","AK","99508","Anchorage","(907) 563-0130","10","Non-Profit","03/15/2006"
"021507","FAIRBANKS MEMORIAL HOSPITAL HOSPICE SERVICES","2001 GILLAM WAY","","FAIRBANKS","AK","99701","Fairbanks","(907) 458-3090","10","Non-Profit","01/14/2013"
"021508","FRONTIER HOME HEALTH AND HOSPICE","3909 ARCTIC BLVD SUITE 102","","ANCHORAGE","AK","99503","Anchorage","(907) 272-1275","10","For-Profit","11/05/2015"
"031500","HOSPICE OF THE VALLEY - CENTRAL","1510 EAST FLOWER STREET, BUILDING 2","","PHOENIX","AZ","85014","Maricopa","(602) 287-7000","9","Non-Profit","11/17/1983"
"031501","AMEDISYS HOSPICE","1585 EAST RIVER ROAD, SUITE 201","","TUCSON","AZ","85718","Pima","(520) 205-7700","9","Other","11/01/1983"
"031502","NORTHERN ARIZONA HOSPICE","203 SOUTH CANDY LANE, SUITE 10A","","COTTONWOOD","AZ","86326","Yavapai","(337) 233-1307","9","Other","07/25/1984"
"031505","HOSPICE OF THE VALLEY EAST","2020 EAST WOODSIDE COURT","","GILBERT","AZ","85297","Maricopa","(480) 730-5980","9","Non-Profit","01/04/1989"
"031508","HOSPICE OF YUMA","1824 SOUTH 8TH AVENUE","","YUMA","AZ","85364","Yuma","(928) 343-2222","9","Non-Profit","11/17/1989"
"031512","NORTHLAND HOSPICE AND PALLIATIVE CARE, INC.","452 NORTH SWITZER CANYON DRIVE","","FLAGSTAFF","AZ","86001","Coconino","(928) 779-1227","9","For-Profit","06/16/1992"
"031514","T M C HOSPICE AKA PEPPI'S HOUSE","2715 NORTH WYATT DRIVE","","TUCSON","AZ","85712","Pima","(520) 324-5624","9","Other","07/09/1992"
"031515","HOSPICE OF THE VALLEY - WEST","9435 WEST PEORIA AVENUE","","PEORIA","AZ","85345","Maricopa","(623) 583-4848","9","Non-Profit","09/29/1992"
"031517","SCOTTSDALE HOSPICE OF THE VALLEY","16117 NORTH 76TH STREET","","SCOTTSDALE","AZ","85260","Maricopa","(480) 663-6500","9","Other","11/10/1992"
