Year,National,State,State-FIPS-Code,Beneficiaries-with-Part-A-and-Part-B,FFS-Beneficiaries,MA-Beneficiaries,MA-Participation-Rate,Average-Age,Percent-Female,Percent-Male,Percent-Non-Hispanic-White,Percent-African-American,Percent-Hispanic,Percent-Other-Unknown,Percent-Eligible-for-Medicaid,Total-Standardized-Costs,Standardized-Per-Capita-Costs,IP-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,IP-Per-Capita-Standardized-Costs,IP-Per-User-Standardized-Costs,Percent-of-Beneficiaries-Using-IP,IP-Covered-Stays-Per-1000-Beneficiaries,IP-Covered-Days-Per-1000-Beneficiaries,Number-of-Acute-Hospital- Readmissions,Hospital-Readmission-Rate,Emergency-Department-Visits,Emergency-Department-Visits-per-1000-Beneficiaries,Perecnt-of-Beneficiaries-with-an-ED-Visit,OP-Standardized-Costs-as-of-Total-Standardized-Costs,OP-Per-Capita-Standardized-Costs,OP-Per-User-Standardized-Costs,Number-OP-Users,Percent-of-Beneficiaries-Using-OP,OP-Visits-Per-1000-Beneficiaries,ASC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,ASC-Per-Capita-Standardized-Costs,ASC-Per-User-Standardized-Costs,Number-ASC-Users,Percent-of-Beneficiaries-Using-ASC,ASC-Events-Per-1000-Beneficiaries,PAC-SNF-Standardized-Costs,PAC-SNF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-SNF-Per-Capita-Standardized-Costs,PAC-SNF-Per-User-Standardized-Costs,Number-PAC-SNF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-SNF,PAC-SNF-Covered-Stays-Per-1000-Beneficiaries,PAC-SNF-Covered-Days-Per-1000-Beneficiaries,PAC-IRF-Standardized-Costs,PAC-IRF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-IRF-Per-Capita-Standardized-Costs,PAC-IRF-Per-User-Standardized-Costs,Number-PAC-IRF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-IRF,PAC-IRF-Covered-Stays-Per-1000-Beneficiaries,PAC-LTCH-Standardized-Costs,PAC-LTCH-Standardized-Costs-as-Perent-of-Total-Standardized-Costs,PAC-LTCH-Per-Capita-Standardized-Costs,PAC-LTCH-Per-User-Standardized-Costs,Number-PAC-LTCH-Users-with-covered-stay,Percent-of-Beneficiaries-Using-PAC-LTCH,PAC-HH-Standardized-Costs,PAC-HH-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-HH-Per-Capita-Standardized-Costs,PAC-HH-Per-User-Standardized-Costs,Number-PAC-HH-Users,Percent-of-Beneficiaries-Using-PAC-HH,PAC-HH-Episodes-Per-1000-Beneficiaries,Hospice-Standardized-Costs,Hospice-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Hospice-Per-Capita-Standardized-Costs,Hospice-Per-User-Standardized-Costs,Number-Hospice-Users-with-covered-stay,Percent-of-Beneficiaries-Using-Hospice,Hospice-Covered-Stays-Per-1000-Beneficiaries,Hospice-Covered-Days-Per-1000-Beneficiaries,EM-Standardized-Costs,EM-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,EM-Per-Capita-Standardized-Costs,EM-Per-User-Standardized-Costs,Number-EM-Users,Percent-of-Beneficiaries-Using-EM,EM-Events-Per-1000-Beneficiaries,Procedures-Standardized-Costs,Procedures-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Procedures-Per-Capita-Standardized-Costs,Procedure- Per-User-Standardized-Costs,Number-Procedure-Users,Percent-of-Beneficiaries-Using-Procedures,Procedure-Events-Per-1000-Beneficiaries,Tests-Standardized-Costs,Tests-Standardized-Costs as-Percent-of-Total-Standardized-Costs,Tests-Per-Capita-Standardized-Costs,Tests-Per-User-Standardized-Costs,Number-Test-Users,Number-of-Beneficiaries-Using-Tests,Test-Events-Per-1000-Beneficiaries,Imaging-Standardized-Costs,Imaging-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Imaging-Per-Capita-Standardized-Costs,Imaging-Per-User-Standardized-Costs,Number-Imaging-Users,Percent-of-Beneficiaries-Using-Imaging,Imaging-Events-Per-1000-Beneficiaries,DME-Standardized-Costs,DME-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,DME-Per-Capita-Standardized-Costs,DME-Per-User-Standardized-Costs,Number-DME-Users,Percent-of-Beneficiaries-Using-DME,DME-Events-Per-1000-Beneficiaries,Outpatient-Dialysis-Facility-Standardized-Costs,Outpatient-Dialysis-Facility-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Outpatient-Dialysis-Facility-Per-Capita-Standardized-Costs,Outpatient-Dialysis-Facility-Per-User-Standardized-Costs,Number-Outpatient-Dialysis-Facility-Users,Percent-of-Beneficiaries-Using-Outpatient-Dialysis-Facility,Outpatient-Dialysis-Facility-Events-Per-1000-Beneficiaries,FQHC-RHC-Standardized-Costs,FQHC-RHC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,FQHC-RHC-Per-Capita-Standardized-Costs,FQHC-RHC-Per-User-Standardized-Costs,Number-FQHC-RHC-Users,Percent-of-Beneficiaries-Using-FQHC-RHC,FQHC-RHC-Visits-Per-1000-Beneficiaries,Ambulance-Standardized-Costs,Ambulance-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Ambulance-Per-Capita-Standardized-Costs,Ambulance-Per-User-Standardized-Costs,Number-Ambulance-Users,Percent-of-Beneficiaries-Using-Ambulance,Ambulance-Events-Per-1000-Beneficiaries,Part-B-Drugs-Standardized-Costs,Part-B-Drugs-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Part-B-Drugs-Per-Capita-Standardized-Costs,Part-B-Drugs-Per-User-Standardized-Costs,Number-Part-B-Drugs-Users,Percent-of-Beneficiaries-Using-Part-B-Drugs,Other-Services-Standardized-Costs
2018,,AL (Alabama),1,772704,438768,333936,43.22,75,56.37,43.63,83.03,14.62,0.7,1.65,13.76,4720060401,10757.53,26.2,2818.02,15235.2,18.5,284,1544,18936,16.36,263820,601,31.48,14.35,1543.29,2334.1,290110,66.12,3278,0.99,106.91,1013.94,46264,10.54,175,335781843.4,7.11,765.28,14559.96,23062,5.26,69,1642,146228030.8,3.1,333.27,22776.95,6420,1.46,17,51880305.05,1.1,118.24,41471.07,1251,0.29,337710738.5,7.15,769.68,6399.31,52773,12.03,247,301743099,6.39,687.71,15780.72,19121,4.36,47,4195,433775246.1,9.19,988.62,1070.69,405137,92.34,13621,323637431.3,6.86,737.6,1009.88,320472,73.04,6549,139413946.3,2.95,317.74,370.46,376330,85.77,10699,111580821.8,2.36,254.3,339.08,329067,75,4469,91252270.1,1.93,207.97,680.98,134001,30.54,1769,81712047.77,1.73,186.23,24132.32,3386,0.77,993,16525797.91,0.35,37.66,442.01,37388,8.52,346,65105266.92,1.38,148.38,1211.82,53725,12.24,433,267378963.1,5.66,609.39,940.69,284236,64.78,55822343.28
2017,,AL (Alabama),1,752510,449697,302813,40.24,75,56.55,43.45,82.68,15.12,0.66,1.55,14.82,4696996783,10444.8,27.12,2832.86,14885.98,19.03,295,1617,20435,16.75,276505,615,31.86,13.59,1418.96,2140.69,298083,66.29,3255,0.98,102.47,990.38,46530,10.35,177,362225623.1,7.71,805.49,14348.41,25245,5.61,74,1772,139596663,2.97,310.42,22625.07,6170,1.37,15,50495414.68,1.08,112.29,38575.57,1309,0.29,341552586.9,7.27,759.52,6290.8,54294,12.07,247,291077130.7,6.2,647.27,15354.6,18957,4.22,46,3996,440729467.3,9.38,980.06,1059.45,415998,92.51,13618,320090733.6,6.81,711.79,975.14,328252,72.99,6362,133791313.3,2.85,297.51,346.83,385760,85.78,10710,115297275.6,2.45,256.39,340.7,338408,75.25,4496,79909526.7,1.7,177.7,585.89,136391,30.33,1784,75813915.33,1.61,168.59,22311.33,3398,0.76,963,17059377.45,0.36,37.94,420.55,40564,9.02,367,68195942.99,1.45,151.65,1203.83,56649,12.6,453,242354092.5,5.16,538.93,840.52,288339,64.12,60695026.61
2016,,AL (Alabama),1,733259,531241,202018,27.55,75,57.37,42.63,82.5,15.53,0.54,1.42,13.02,5257316493,9896.29,27,2671.97,14420.99,18.53,284,1566,22521,16.25,303740,572,30.34,13.33,1319.43,1980.27,353959,66.63,3252,1.05,104.35,967.45,57301,10.79,177,402606493.2,7.66,757.86,14121.09,28511,5.37,70,1697,153816885,2.93,289.54,22305.23,6896,1.3,15,57992383.26,1.1,109.16,42176.28,1375,0.26,377227844.6,7.18,710.09,6186.6,60975,11.48,235,319411859.7,6.08,601.26,15351.91,20806,3.92,43,3771,507353363.2,9.65,955.03,1025.78,494601,93.1,13293,371406982.3,7.06,699.13,957.41,387929,73.02,6120,150309954.4,2.86,282.94,327.24,459321,86.46,10722,130989061.1,2.49,246.57,325.61,402293,75.73,4535,104934691.9,2,197.53,629.37,166729,31.38,1866,82607562.29,1.57,155.5,22576.54,3659,0.69,897,17437979.24,0.33,32.82,382.13,45634,8.59,343,74466739.12,1.42,140.18,1170.89,63598,11.97,424,266312157.7,5.07,501.3,774.2,343983,64.75,64613070.13
2015,,AL (Alabama),1,715082,527302,187780,26.26,75,57.42,42.58,82.79,15.38,0.51,1.31,13.27,5176545358,9817.04,27.02,2652.39,14090.66,18.82,291,1632,23074,16.41,305750,580,30.62,13.15,1290.57,1938.21,351107,66.59,3255,1.01,99.06,942.88,55397,10.51,168,423716625.6,8.19,803.56,14312.33,29605,5.61,74,1837,146501985.8,2.83,277.83,21742.65,6738,1.28,14,59247633.85,1.14,112.36,42441,1396,0.26,361477350.5,6.98,685.52,6053.48,59714,11.32,231,307649392.3,5.94,583.44,14838.63,20733,3.93,43,3636,505477265.2,9.76,958.61,1029.13,491171,93.15,13120,356637539.9,6.89,676.34,950.53,375198,71.15,5641,155083127,3,294.11,340.46,455504,86.38,10741,130696262.2,2.52,247.86,326.22,400639,75.98,4614,122569883.7,2.37,232.45,737.36,166228,31.52,1877,82792305.06,1.6,157.01,23004.25,3599,0.68,882,17785558.03,0.34,33.73,397.16,44782,8.49,343,80347053.13,1.55,152.37,1238.79,64859,12.3,442,234733044.5,4.53,445.16,686.82,341767,64.81,60465628.92
2018,,AK (Alaska),2,74890,73318,1572,2.1,74,51.19,48.81,76.22,2.08,2.48,19.22,15.56,521225257.8,7109.1,30.29,2153.42,16709.08,12.89,183,1031,1774,14.22,35259,481,24.61,23.41,1664.45,2812.3,43393,59.18,4066,2.05,145.88,1346.34,7944,10.83,168,26224261.77,5.03,357.68,25167.24,1042,1.42,17,417,5440266.19,1.04,74.2,23860.82,228,0.31,3,7497344.91,1.44,102.26,50317.75,149,0.2,11677485.68,2.24,159.27,4933.45,2367,3.23,53,8682768.92,1.67,118.43,10287.64,844,1.15,12,696,42826869,8.22,584.12,698.15,61343,83.67,8556,38885956.28,7.46,530.37,994.27,39110,53.34,3902,11535705.87,2.21,157.34,232.35,49648,67.72,5257,14344416.79,2.75,195.65,321.29,44647,60.9,3039,6929234.32,1.33,94.51,517.61,13387,18.26,950,6841563.23,1.31,93.31,23838.2,287,0.39,554,3035937.44,0.58,41.41,510.58,5946,8.11,285,13531657.26,2.6,184.56,1887.39,7170,9.78,216,28280999.24,5.43,385.73,880.62,32115,43.8,4877031.1
2017,,AK (Alaska),2,71180,69757,1423,2,74,51.29,48.71,76.11,2.07,2.46,19.35,15.69,466095097.6,6681.7,31.31,2091.92,16154.74,12.95,184,1044,1678,13.87,33680,483,24.71,22.65,1513.28,2526.98,41774,59.89,4078,1.98,132.62,1252.66,7385,10.59,164,23250675.27,4.99,333.31,23438.18,992,1.42,17,413,5254491.01,1.13,75.33,22551.46,233,0.33,4,6475059.87,1.39,92.82,49808.15,130,0.19,10176439.37,2.18,145.88,4648.9,2189,3.14,50,7572138.8,1.62,108.55,9597.13,789,1.13,12,651,39271271.07,8.43,562.97,673.78,58285,83.55,8342,35390334.62,7.59,507.34,972.45,36393,52.17,3725,10344002.44,2.22,148.29,221.93,46610,66.82,5198,12911788.71,2.77,185.1,306.19,42169,60.45,3036,5621104.32,1.21,80.58,439.97,12776,18.32,954,5667693.62,1.22,81.25,21550.17,263,0.38,507,2721878.7,0.58,39.02,490.96,5544,7.95,280,12973894.24,2.78,185.99,1901.94,6821,9.78,217,23347709.62,5.01,334.7,788.99,29592,42.42,4378055.37
2016,,AK (Alaska),2,67395,66629,766,1.14,74,51.14,48.86,76.53,2.02,2.39,19.06,15.36,432548460.9,6491.89,31.32,2033.14,15462.4,13.15,185,1037,1531,13.34,32236,484,24.81,22.06,1432.27,2413.58,39539,59.34,4033,1.96,127.16,1207.58,7016,10.53,162,23644344.77,5.47,354.87,22977.98,1029,1.54,18,439,4883647.53,1.13,73.3,22714.64,215,0.32,3,6982718.85,1.61,104.8,61251.92,114,0.17,9512184.98,2.2,142.76,4418.11,2153,3.23,51,7799436.36,1.8,117.06,9558.13,816,1.22,13,708,35947673.11,8.31,539.52,646.97,55563,83.39,8231,32386139.05,7.49,486.07,948.32,34151,51.26,3495,9801337.52,2.27,147.1,221.06,44337,66.54,5274,11988867.19,2.77,179.93,301.01,39829,59.78,3163,6523348.06,1.51,97.91,520.33,12537,18.82,960,5531133.2,1.28,83.01,22393.25,247,0.37,536,2407604.64,0.56,36.13,490.65,4907,7.36,258,11717330.3,2.71,175.86,1800.45,6508,9.77,214,20195637.5,4.67,303.11,740.47,27274,40.93,3858103.49
2015,,AK (Alaska),2,63724,62992,732,1.15,74,51.19,48.81,76.59,2.03,2.35,19.03,15.59,407082308,6462.44,31.98,2066.38,15885.48,13.01,184,1048,1506,13.97,29939,475,24.53,21.12,1364.61,2371.69,36244,57.54,3748,1.91,123.61,1207.42,6449,10.24,157,19416639.49,4.77,308.24,19573.23,992,1.57,19,463,4903927.6,1.2,77.85,21990.71,223,0.35,4,6994304.26,1.72,111.03,63011.75,111,0.18,8829933.95,2.17,140.18,4198.73,2103,3.34,51,7381170.43,1.81,117.18,9426.78,783,1.24,13,729,35350744.88,8.68,561.19,671.86,52616,83.53,8223,31745808.66,7.8,503.97,1010.31,31422,49.88,3412,8970289.18,2.2,142.4,213.73,41970,66.63,5410,11569770.88,2.84,183.67,306.16,37790,59.99,3188,7284426.15,1.79,115.64,629.87,11565,18.36,919,5463754.9,1.34,86.74,22860.9,239,0.38,539,1959708.78,0.48,31.11,437.83,4476,7.11,251,11547094.85,2.84,183.31,1872.55,6167,9.79,212,17609266.63,4.33,279.55,682.45,25803,40.96,4143695.99
2018,,AZ (Arizona),4,1056907,617303,439604,41.59,74,53.86,46.14,84.29,1.91,7.11,6.68,6.66,5557821464,9003.39,25,2250.55,16321.69,13.79,201,923,17516,14.92,319936,518,27.73,14.88,1340.05,2575.79,321149,52.02,2688,2.15,193.56,1255.19,95193,15.42,264,261290548.8,4.7,423.28,13519.46,19327,3.13,41,836,169652636.4,3.05,274.83,21797.85,7783,1.26,14,30941353.76,0.56,50.12,46739.21,662,0.11,198745763.1,3.58,321.96,4964.67,40032,6.48,104,243037256,4.37,393.71,12739.8,19077,3.09,33,2363,651842452.2,11.73,1055.95,1164.13,559937,90.71,13993,550545794.5,9.91,891.86,1259.8,437009,70.79,6853,230313681.6,4.14,373.1,447.6,514553,83.36,11358,200879398.7,3.61,325.41,454.43,442049,71.61,4092,99379655.68,1.79,160.99,687.4,144573,23.42,1251,74843618.75,1.35,121.24,22143.08,3380,0.55,689,14336274.71,0.26,23.22,444.07,32284,5.23,178,58331861.34,1.05,94.49,1066.06,54717,8.86,187,391804782.5,7.05,634.7,1035,378557,61.32,45907559.73
2017,,AZ (Arizona),4,1012270,597973,414297,40.93,74,53.72,46.28,84.47,1.93,7.1,6.49,6.82,5219807105,8729.17,25.57,2231.63,15441.31,14.45,211,960,17784,14.98,319553,534,28.37,14.04,1225.77,2340.15,313219,52.38,2710,2.03,177.39,1151.44,92124,15.41,267,259742397.9,4.98,434.37,13271.8,19571,3.27,42,880,165437148.8,3.17,276.66,21926.73,7545,1.26,14,33953441.78,0.65,56.78,45883.03,740,0.12,184383191.9,3.53,308.35,4803.65,38384,6.42,102,236924165.6,4.54,396.21,12609.06,18790,3.14,33,2354,623925455.6,11.95,1043.4,1148.53,543238,90.85,13921,511115170.6,9.79,854.75,1213.46,421206,70.44,6644,211510176.6,4.05,353.71,423.98,498872,83.43,11429,198830204,3.81,332.51,464.84,427738,71.53,4094,87442325.09,1.68,146.23,622.04,140574,23.51,1243,68623318.5,1.31,114.76,21219.33,3234,0.54,674,12432144.36,0.24,20.79,433.57,28674,4.8,162,59334919.97,1.14,99.23,1067.24,55597,9.3,193,350716782.4,6.72,586.51,970.42,361408,60.44,41929454.83
