Year,National,State,State FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate,Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Total Standardized Costs,Standardized Per Capita Costs,IP Standardized Costs as % of Total Standardized Costs,IP Per Capita Standardized Costs,IP Per User Standardized Costs,% of Beneficiaries Using IP,IP Covered Stays Per 1000 Beneficiaries,IP Covered Days Per 1000 Beneficiaries,Number of Acute Hospital Readmissions,Hospital Readmission Rate,Emergency Department Visits,Emergency Department Visits per 1000 Beneficiaries,% of Beneficiaries with an ED Visit,OP Standardized Costs as % of Total Standardized Costs,OP Per Capita Standardized Costs,OP Per User Standardized Costs,# OP Users,% of Beneficiaries Using OP,OP Visits Per 1000 Beneficiaries,ASC Standardized Costs as % of Total Standardized Costs,ASC Per Capita Standardized Costs,ASC Per User Standardized Costs,# ASC Users,% of Beneficiaries Using ASC,ASC Events Per 1000 Beneficiaries,PAC: SNF Standardized Costs,PAC: SNF Standardized Costs as % of Total Standardized Costs,PAC: SNF Per Capita Standardized Costs,PAC: SNF Per User Standardized Costs,# PAC: SNF Users (with a covered stay),% of Beneficiaries Using PAC: SNF,PAC: SNF Covered Stays Per 1000 Beneficiaries,PAC: SNF Covered Days Per 1000 Beneficiaries,PAC: IRF Standardized Costs,PAC: IRF Standardized Costs as % of Total Standardized Costs,PAC: IRF Per Capita Standardized Costs,PAC: IRF Per User Standardized Costs,# PAC: IRF Users (with a covered stay),% of Beneficiaries Using PAC: IRF,PAC: IRF Covered Stays Per 1000 Beneficiaries,PAC: LTCH Standardized Costs,PAC: LTCH Standardized Costs as % of Total Standardized Costs,PAC: LTCH Per Capita Standardized Costs,PAC: LTCH Per User Standardized Costs,# PAC: LTCH Users (with a covered stay),% of Beneficiaries Using PAC: LTCH,PAC: HH Standardized Costs,PAC: HH Standardized Costs as % of Total Standardized Costs,PAC: HH Per Capita Standardized Costs,PAC: HH Per User Standardized Costs,# PAC: HH Users,% of Beneficiaries Using PAC: HH,PAC: HH Episodes Per 1000 Beneficiaries,Hospice Standardized Costs,Hospice Standardized Costs as % of Total Standardized Costs,Hospice Per Capita Standardized Costs,Hospice Per User Standardized Costs,# Hospice Users (with a covered stay),% of Beneficiaries Using Hospice,Hospice Covered Stays Per 1000 Beneficiaries,Hospice Covered Days Per 1000 Beneficiaries,E&M Standardized Costs,E&M Standardized Costs as % of Total Standardized Costs,E&M Per Capita Standardized Costs,E&M Per User Standardized Costs,# E&M Users,% of Beneficiaries Using E&M,E&M Events Per 1000 Beneficiaries,Procedures Standardized Costs,Procedures Standardized Costs as % of Total Standardized Costs,Procedures Per Capita Standardized Costs,Procedures Per User Standardized Costs,# Procedure Users,% of Beneficiaries Using Procedures,Procedure Events Per 1000 Beneficiaries,Tests Standardized Costs,Tests Standardized Costs as % of Total Standardized Costs,Tests Per Capita Standardized Costs,Tests Per User Standardized Costs,# Test Users,% of Beneficiaries Using Tests,Test Events Per 1000 Beneficiaries,Imaging Standardized Costs,Imaging Standardized Costs as % of Total Standardized Costs,Imaging Per Capita Standardized Costs,Imaging Per User Standardized Costs,# Imaging Users,% of Beneficiaries Using Imaging,Imaging Events Per 1000 Beneficiaries,DME Standardized Costs,DME Standardized Costs as % of Total Standardized Costs,DME Per Capita Standardized Costs,DME Per User Standardized Costs,# DME Users,% of Beneficiaries Using DME,DME Events Per 1000 Beneficiaries,Outpatient Dialysis Facility Standardized Costs,Outpatient Dialysis Facility Standardized Costs as % of Total Standardized Costs,Outpatient Dialysis Facility Per Capita Standardized Costs,Outpatient Dialysis Facility Per User Standardized Costs,# Outpatient Dialysis Facility Users,% of Beneficiaries Using Outpatient Dialysis Facility,Outpatient Dialysis Facility Events Per 1000 Beneficiaries,FQHC/RHC Standardized Costs,FQHC/RHC Standardized Costs as % of Total Standardized Costs,FQHC/RHC Per Capita Standardized Costs,FQHC/RHC Per User Standardized Costs,# FQHC/RHC Users,% of Beneficiaries Using FQHC/RHC,FQHC/RHC Visits Per 1000 Beneficiaries,Ambulance Standardized Costs,Ambulance Standardized Costs as % of Total Standardized Costs,Ambulance Per Capita Standardized Costs,Ambulance Per User Standardized Costs,# Ambulance Users,% of Beneficiaries Using Ambulance,Ambulance Events Per 1000 Beneficiaries,Part B Drugs Standardized Costs,Part B Drugs Standardized Costs as % of Total Standardized Costs,Part B Drugs Per Capita Standardized Costs,Part B Drugs Per User Standardized Costs,# Part B Drugs Users,% of Beneficiaries Using Part B Drugs,Other Services Standardized Costs
2018,,AL (Alabama),01,772704.00,438768.00,333936.00,43.22 %,75.00,56.37 %,43.63 %,83.03 %,14.62 %,0.70 %,1.65 %,13.76 %,4720060400.50,10757.53,26.20 %,2818.02,15235.20,18.50 %,284.00,1544.00,18936.00,16.36 %,263820.00,601.00,31.48 %,14.35 %,1543.29,2334.10,290110.00,66.12 %,3278.00,0.99 %,106.91,1013.94,46264.00,10.54 %,175.00,335781843.39,7.11 %,765.28,14559.96,23062.00,5.26 %,69.00,1642.00,146228030.77,3.10 %,333.27,22776.95,6420.00,1.46 %,17.00,51880305.05,1.10 %,118.24,41471.07,1251.00,0.29 %,337710738.49,7.15 %,769.68,6399.31,52773.00,12.03 %,247.00,301743098.97,6.39 %,687.71,15780.72,19121.00,4.36 %,47.00,4195.00,433775246.09,9.19 %,988.62,1070.69,405137.00,92.34 %,13621.00,323637431.29,6.86 %,737.60,1009.88,320472.00,73.04 %,6549.00,139413946.33,2.95 %,317.74,370.46,376330.00,85.77 %,10699.00,111580821.79,2.36 %,254.30,339.08,329067.00,75.00 %,4469.00,91252270.10,1.93 %,207.97,680.98,134001.00,30.54 %,1769.00,81712047.77,1.73 %,186.23,24132.32,3386.00,0.77 %,993.00,16525797.91,0.35 %,37.66,442.01,37388.00,8.52 %,346.00,65105266.92,1.38 %,148.38,1211.82,53725.00,12.24 %,433.00,267378963.13,5.66 %,609.39,940.69,284236.00,64.78 %,55822343.28
2017,,AL (Alabama),01,752510.00,449697.00,302813.00,40.24 %,75.00,56.55 %,43.45 %,82.68 %,15.12 %,0.66 %,1.55 %,14.82 %,4696996783.32,10444.80,27.12 %,2832.86,14885.98,19.03 %,295.00,1617.00,20435.00,16.75 %,276505.00,615.00,31.86 %,13.59 %,1418.96,2140.69,298083.00,66.29 %,3255.00,0.98 %,102.47,990.38,46530.00,10.35 %,177.00,362225623.14,7.71 %,805.49,14348.41,25245.00,5.61 %,74.00,1772.00,139596662.96,2.97 %,310.42,22625.07,6170.00,1.37 %,15.00,50495414.68,1.08 %,112.29,38575.57,1309.00,0.29 %,341552586.93,7.27 %,759.52,6290.80,54294.00,12.07 %,247.00,291077130.65,6.20 %,647.27,15354.60,18957.00,4.22 %,46.00,3996.00,440729467.34,9.38 %,980.06,1059.45,415998.00,92.51 %,13618.00,320090733.58,6.81 %,711.79,975.14,328252.00,72.99 %,6362.00,133791313.25,2.85 %,297.51,346.83,385760.00,85.78 %,10710.00,115297275.58,2.45 %,256.39,340.70,338408.00,75.25 %,4496.00,79909526.70,1.70 %,177.70,585.89,136391.00,30.33 %,1784.00,75813915.33,1.61 %,168.59,22311.33,3398.00,0.76 %,963.00,17059377.45,0.36 %,37.94,420.55,40564.00,9.02 %,367.00,68195942.99,1.45 %,151.65,1203.83,56649.00,12.60 %,453.00,242354092.53,5.16 %,538.93,840.52,288339.00,64.12 %,60695026.61
2016,,AL (Alabama),01,733259.00,531241.00,202018.00,27.55 %,75.00,57.37 %,42.63 %,82.50 %,15.53 %,0.54 %,1.42 %,13.02 %,5257316493.09,9896.29,27.00 %,2671.97,14420.99,18.53 %,284.00,1566.00,22521.00,16.25 %,303740.00,572.00,30.34 %,13.33 %,1319.43,1980.27,353959.00,66.63 %,3252.00,1.05 %,104.35,967.45,57301.00,10.79 %,177.00,402606493.18,7.66 %,757.86,14121.09,28511.00,5.37 %,70.00,1697.00,153816884.95,2.93 %,289.54,22305.23,6896.00,1.30 %,15.00,57992383.26,1.10 %,109.16,42176.28,1375.00,0.26 %,377227844.62,7.18 %,710.09,6186.60,60975.00,11.48 %,235.00,319411859.68,6.08 %,601.26,15351.91,20806.00,3.92 %,43.00,3771.00,507353363.15,9.65 %,955.03,1025.78,494601.00,93.10 %,13293.00,371406982.30,7.06 %,699.13,957.41,387929.00,73.02 %,6120.00,150309954.35,2.86 %,282.94,327.24,459321.00,86.46 %,10722.00,130989061.09,2.49 %,246.57,325.61,402293.00,75.73 %,4535.00,104934691.93,2.00 %,197.53,629.37,166729.00,31.38 %,1866.00,82607562.29,1.57 %,155.50,22576.54,3659.00,0.69 %,897.00,17437979.24,0.33 %,32.82,382.13,45634.00,8.59 %,343.00,74466739.12,1.42 %,140.18,1170.89,63598.00,11.97 %,424.00,266312157.66,5.07 %,501.30,774.20,343983.00,64.75 %,64613070.13
2015,,AL (Alabama),01,715082.00,527302.00,187780.00,26.26 %,75.00,57.42 %,42.58 %,82.79 %,15.38 %,0.51 %,1.31 %,13.27 %,5176545357.73,9817.04,27.02 %,2652.39,14090.66,18.82 %,291.00,1632.00,23074.00,16.41 %,305750.00,580.00,30.62 %,13.15 %,1290.57,1938.21,351107.00,66.59 %,3255.00,1.01 %,99.06,942.88,55397.00,10.51 %,168.00,423716625.59,8.19 %,803.56,14312.33,29605.00,5.61 %,74.00,1837.00,146501985.83,2.83 %,277.83,21742.65,6738.00,1.28 %,14.00,59247633.85,1.14 %,112.36,42441.00,1396.00,0.26 %,361477350.54,6.98 %,685.52,6053.48,59714.00,11.32 %,231.00,307649392.33,5.94 %,583.44,14838.63,20733.00,3.93 %,43.00,3636.00,505477265.19,9.76 %,958.61,1029.13,491171.00,93.15 %,13120.00,356637539.88,6.89 %,676.34,950.53,375198.00,71.15 %,5641.00,155083127.01,3.00 %,294.11,340.46,455504.00,86.38 %,10741.00,130696262.15,2.52 %,247.86,326.22,400639.00,75.98 %,4614.00,122569883.66,2.37 %,232.45,737.36,166228.00,31.52 %,1877.00,82792305.06,1.60 %,157.01,23004.25,3599.00,0.68 %,882.00,17785558.03,0.34 %,33.73,397.16,44782.00,8.49 %,343.00,80347053.13,1.55 %,152.37,1238.79,64859.00,12.30 %,442.00,234733044.54,4.53 %,445.16,686.82,341767.00,64.81 %,60465628.92
2018,,AK (Alaska),02,74890.00,73318.00,1572.00,2.10 %,74.00,51.19 %,48.81 %,76.22 %,2.08 %,2.48 %,19.22 %,15.56 %,521225257.76,7109.10,30.29 %,2153.42,16709.08,12.89 %,183.00,1031.00,1774.00,14.22 %,35259.00,481.00,24.61 %,23.41 %,1664.45,2812.30,43393.00,59.18 %,4066.00,2.05 %,145.88,1346.34,7944.00,10.83 %,168.00,26224261.77,5.03 %,357.68,25167.24,1042.00,1.42 %,17.00,417.00,5440266.19,1.04 %,74.20,23860.82,228.00,0.31 %,3.00,7497344.91,1.44 %,102.26,50317.75,149.00,0.20 %,11677485.68,2.24 %,159.27,4933.45,2367.00,3.23 %,53.00,8682768.92,1.67 %,118.43,10287.64,844.00,1.15 %,12.00,696.00,42826869.00,8.22 %,584.12,698.15,61343.00,83.67 %,8556.00,38885956.28,7.46 %,530.37,994.27,39110.00,53.34 %,3902.00,11535705.87,2.21 %,157.34,232.35,49648.00,67.72 %,5257.00,14344416.79,2.75 %,195.65,321.29,44647.00,60.90 %,3039.00,6929234.32,1.33 %,94.51,517.61,13387.00,18.26 %,950.00,6841563.23,1.31 %,93.31,23838.20,287.00,0.39 %,554.00,3035937.44,0.58 %,41.41,510.58,5946.00,8.11 %,285.00,13531657.26,2.60 %,184.56,1887.39,7170.00,9.78 %,216.00,28280999.24,5.43 %,385.73,880.62,32115.00,43.80 %,4877031.10
2017,,AK (Alaska),02,71180.00,69757.00,1423.00,2.00 %,74.00,51.29 %,48.71 %,76.11 %,2.07 %,2.46 %,19.35 %,15.69 %,466095097.57,6681.70,31.31 %,2091.92,16154.74,12.95 %,184.00,1044.00,1678.00,13.87 %,33680.00,483.00,24.71 %,22.65 %,1513.28,2526.98,41774.00,59.89 %,4078.00,1.98 %,132.62,1252.66,7385.00,10.59 %,164.00,23250675.27,4.99 %,333.31,23438.18,992.00,1.42 %,17.00,413.00,5254491.01,1.13 %,75.33,22551.46,233.00,0.33 %,4.00,6475059.87,1.39 %,92.82,49808.15,130.00,0.19 %,10176439.37,2.18 %,145.88,4648.90,2189.00,3.14 %,50.00,7572138.80,1.62 %,108.55,9597.13,789.00,1.13 %,12.00,651.00,39271271.07,8.43 %,562.97,673.78,58285.00,83.55 %,8342.00,35390334.62,7.59 %,507.34,972.45,36393.00,52.17 %,3725.00,10344002.44,2.22 %,148.29,221.93,46610.00,66.82 %,5198.00,12911788.71,2.77 %,185.10,306.19,42169.00,60.45 %,3036.00,5621104.32,1.21 %,80.58,439.97,12776.00,18.32 %,954.00,5667693.62,1.22 %,81.25,21550.17,263.00,0.38 %,507.00,2721878.70,0.58 %,39.02,490.96,5544.00,7.95 %,280.00,12973894.24,2.78 %,185.99,1901.94,6821.00,9.78 %,217.00,23347709.62,5.01 %,334.70,788.99,29592.00,42.42 %,4378055.37
2016,,AK (Alaska),02,67395.00,66629.00,766.00,1.14 %,74.00,51.14 %,48.86 %,76.53 %,2.02 %,2.39 %,19.06 %,15.36 %,432548460.93,6491.89,31.32 %,2033.14,15462.40,13.15 %,185.00,1037.00,1531.00,13.34 %,32236.00,484.00,24.81 %,22.06 %,1432.27,2413.58,39539.00,59.34 %,4033.00,1.96 %,127.16,1207.58,7016.00,10.53 %,162.00,23644344.77,5.47 %,354.87,22977.98,1029.00,1.54 %,18.00,439.00,4883647.53,1.13 %,73.30,22714.64,215.00,0.32 %,3.00,6982718.85,1.61 %,104.80,61251.92,114.00,0.17 %,9512184.98,2.20 %,142.76,4418.11,2153.00,3.23 %,51.00,7799436.36,1.80 %,117.06,9558.13,816.00,1.22 %,13.00,708.00,35947673.11,8.31 %,539.52,646.97,55563.00,83.39 %,8231.00,32386139.05,7.49 %,486.07,948.32,34151.00,51.26 %,3495.00,9801337.52,2.27 %,147.10,221.06,44337.00,66.54 %,5274.00,11988867.19,2.77 %,179.93,301.01,39829.00,59.78 %,3163.00,6523348.06,1.51 %,97.91,520.33,12537.00,18.82 %,960.00,5531133.20,1.28 %,83.01,22393.25,247.00,0.37 %,536.00,2407604.64,0.56 %,36.13,490.65,4907.00,7.36 %,258.00,11717330.30,2.71 %,175.86,1800.45,6508.00,9.77 %,214.00,20195637.50,4.67 %,303.11,740.47,27274.00,40.93 %,3858103.49
2015,,AK (Alaska),02,63724.00,62992.00,732.00,1.15 %,74.00,51.19 %,48.81 %,76.59 %,2.03 %,2.35 %,19.03 %,15.59 %,407082307.95,6462.44,31.98 %,2066.38,15885.48,13.01 %,184.00,1048.00,1506.00,13.97 %,29939.00,475.00,24.53 %,21.12 %,1364.61,2371.69,36244.00,57.54 %,3748.00,1.91 %,123.61,1207.42,6449.00,10.24 %,157.00,19416639.49,4.77 %,308.24,19573.23,992.00,1.57 %,19.00,463.00,4903927.60,1.20 %,77.85,21990.71,223.00,0.35 %,4.00,6994304.26,1.72 %,111.03,63011.75,111.00,0.18 %,8829933.95,2.17 %,140.18,4198.73,2103.00,3.34 %,51.00,7381170.43,1.81 %,117.18,9426.78,783.00,1.24 %,13.00,729.00,35350744.88,8.68 %,561.19,671.86,52616.00,83.53 %,8223.00,31745808.66,7.80 %,503.97,1010.31,31422.00,49.88 %,3412.00,8970289.18,2.20 %,142.40,213.73,41970.00,66.63 %,5410.00,11569770.88,2.84 %,183.67,306.16,37790.00,59.99 %,3188.00,7284426.15,1.79 %,115.64,629.87,11565.00,18.36 %,919.00,5463754.90,1.34 %,86.74,22860.90,239.00,0.38 %,539.00,1959708.78,0.48 %,31.11,437.83,4476.00,7.11 %,251.00,11547094.85,2.84 %,183.31,1872.55,6167.00,9.79 %,212.00,17609266.63,4.33 %,279.55,682.45,25803.00,40.96 %,4143695.99
2018,,AZ (Arizona),04,1056907.00,617303.00,439604.00,41.59 %,74.00,53.86 %,46.14 %,84.29 %,1.91 %,7.11 %,6.68 %,6.66 %,5557821464.48,9003.39,25.00 %,2250.55,16321.69,13.79 %,201.00,923.00,17516.00,14.92 %,319936.00,518.00,27.73 %,14.88 %,1340.05,2575.79,321149.00,52.02 %,2688.00,2.15 %,193.56,1255.19,95193.00,15.42 %,264.00,261290548.80,4.70 %,423.28,13519.46,19327.00,3.13 %,41.00,836.00,169652636.40,3.05 %,274.83,21797.85,7783.00,1.26 %,14.00,30941353.76,0.56 %,50.12,46739.21,662.00,0.11 %,198745763.06,3.58 %,321.96,4964.67,40032.00,6.48 %,104.00,243037255.97,4.37 %,393.71,12739.80,19077.00,3.09 %,33.00,2363.00,651842452.19,11.73 %,1055.95,1164.13,559937.00,90.71 %,13993.00,550545794.51,9.91 %,891.86,1259.80,437009.00,70.79 %,6853.00,230313681.63,4.14 %,373.10,447.60,514553.00,83.36 %,11358.00,200879398.69,3.61 %,325.41,454.43,442049.00,71.61 %,4092.00,99379655.68,1.79 %,160.99,687.40,144573.00,23.42 %,1251.00,74843618.75,1.35 %,121.24,22143.08,3380.00,0.55 %,689.00,14336274.71,0.26 %,23.22,444.07,32284.00,5.23 %,178.00,58331861.34,1.05 %,94.49,1066.06,54717.00,8.86 %,187.00,391804782.50,7.05 %,634.70,1035.00,378557.00,61.32 %,45907559.73
2017,,AZ (Arizona),04,1012270.00,597973.00,414297.00,40.93 %,74.00,53.72 %,46.28 %,84.47 %,1.93 %,7.10 %,6.49 %,6.82 %,5219807104.74,8729.17,25.57 %,2231.63,15441.31,14.45 %,211.00,960.00,17784.00,14.98 %,319553.00,534.00,28.37 %,14.04 %,1225.77,2340.15,313219.00,52.38 %,2710.00,2.03 %,177.39,1151.44,92124.00,15.41 %,267.00,259742397.85,4.98 %,434.37,13271.80,19571.00,3.27 %,42.00,880.00,165437148.75,3.17 %,276.66,21926.73,7545.00,1.26 %,14.00,33953441.78,0.65 %,56.78,45883.03,740.00,0.12 %,184383191.88,3.53 %,308.35,4803.65,38384.00,6.42 %,102.00,236924165.62,4.54 %,396.21,12609.06,18790.00,3.14 %,33.00,2354.00,623925455.57,11.95 %,1043.40,1148.53,543238.00,90.85 %,13921.00,511115170.62,9.79 %,854.75,1213.46,421206.00,70.44 %,6644.00,211510176.60,4.05 %,353.71,423.98,498872.00,83.43 %,11429.00,198830204.02,3.81 %,332.51,464.84,427738.00,71.53 %,4094.00,87442325.09,1.68 %,146.23,622.04,140574.00,23.51 %,1243.00,68623318.50,1.31 %,114.76,21219.33,3234.00,0.54 %,674.00,12432144.36,0.24 %,20.79,433.57,28674.00,4.80 %,162.00,59334919.97,1.14 %,99.23,1067.24,55597.00,9.30 %,193.00,350716782.43,6.72 %,586.51,970.42,361408.00,60.44 %,41929454.83
